//KlientenbezogeneAktivitätstypen
UNDEFINED_AT;
CLEARING_AT;Clearing (Erstkontakt,Abklärung)
OBSERVATIONS_AT;Klientenbeobachtung
ASSESSMENT_AT;Assessment
OBSERVATIONS_ASSESSMENT_AT;Klientenbeobachtung/Assessment
GERIATRIC_PSYCHIATRIC_AT;gerontopsychiatrische Pflege
GUIDANCE_PARTNER_AT;Beratung, Begleitung, Anleitung(Systempartner)
GUIDANCE_CLIENT_AT;Beratung, Begleitung, Anleitung(Klientensystem)
CARE_DOCUMENTATION_AT;Pflegedokumentation
CONTACT_PARTNER_AT;Kontakt mit Haus-/Fachärztin, and. Systempartner
EXECUTION_TRANSPORT_AT;Erledigung, Transport
PDS_DIAGNOSIS_UNDERSTANDING_AT;Diagnoseverständnis & Symptommanagement
PDS_EMOTIONAL_WELLBEING_AT;Emotionales Wohlbefinden & Selbstbestimmung
PDS_SOCIAL_PARTICIPATION_AT;Teilhabe & soziale Netzwerke
PDS_PEER_SUPPORT_AT;Peer Support
PDS_FUTURE_PLANNING_AT;Zukunftsplanung & integrierte Versorgung
