// Diagnosegruppen MKKP

UNDEFINED_DIAGNOSIS_GROUP;undefiniert
ONCOLOGICAL_DISEASE;Onkologische Erkrankung	
PREMATURE;Frühgeborene
METABOLIC_DISEASE;Stoffwechselerkrankung	
NEUROLOGICAL_DISEASE;neurologische Erkrankung
SURGICAL_CARE;chirurgische Versorgung nach operativen Eingriffen	
HEART_DISEASE;Herzerkrankungen	
GENETIC_DISEASE;genetische Erkrankungen	
PALLIATIVE_CARE1;Palliative Versorgung: IMPaCCT 1	
PALLIATIVE_CARE2;Palliative Versorgung: IMPaCCT 2	
PALLIATIVE_CARE3;Palliative Versorgung: IMPaCCT 3	
PALLIATIVE_CARE4;Palliative Versorgung: IMPaCCT 4
